kingdom,scientificName,class,order,family,genus,species,phylum,domain
,Homo sapiens (human),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),hsa,,
,Pan troglodytes (chimpanzee),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),ptr,,
,Pan paniscus (bonobo),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),pps,,
,Gorilla gorilla gorilla (western lowland gorilla),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),ggo,,
,Pongo abelii (Sumatran orangutan),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),pon,,
,Nomascus leucogenys (northern white-cheeked gibbon),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),nle,,
,Macaca mulatta (rhesus monkey),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),mcc,,
,Macaca fascicularis (crab-eating macaque),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),mcf,,
,Chlorocebus sabaeus (green monkey),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),csab,,
,Rhinopithecus roxellana (golden snub-nosed monkey),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),rro,,
,Rhinopithecus bieti (black snub-nosed monkey),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),rbb,,
,Callithrix jacchus (white-tufted-ear marmoset),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),cjc,,
,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),sbq,,
,Mus musculus (mouse),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),mmu,,
,Rattus norvegicus (rat),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),rno,,
,Cricetulus griseus (Chinese hamster),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),cge,,
,Nannospalax galili (Upper Galilee mountains blind mole rat),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),ngi,,
,Heterocephalus glaber (naked mole rat),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),hgl,,
,Oryctolagus cuniculus (rabbit),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),ocu,,
,Tupaia chinensis (Chinese tree shrew),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),tup,,
,Canis familiaris (dog),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),cfa,,
,Ailuropoda melanoleuca (giant panda),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),aml,,
,Ursus maritimus (polar bear),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),umr,,
,Felis catus (domestic cat),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),fca,,
,Panthera tigris altaica (Amur tiger),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),ptg,,
,Acinonyx jubatus (cheetah),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),aju,,
,Bos taurus (cow),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),bta,,
,Bos mutus (wild yak),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),bom,,
,Pantholops hodgsonii (chiru),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),phd,,
,Capra hircus (goat),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),chx,,
,Ovis aries (sheep),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),oas,,
