#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCA_000015025.1,PRJNA16097,SAMN02598358,na,reference genome,351607,28049,Acidothermus cellulolyticus 11B,strain=11B; ATCC 43068,na,latest,Complete Genome,Major,Full,2006-11-09,ASM1502v1,DOE Joint Genome Institute,GCF_000015025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/025/GCA_000015025.1_ASM1502v1,na,assembly from type material,na,haploid,bacteria,2443540,2443540,67.000000,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2014-01-28,2214,2157,53,19270083
GCA_000015545.1,PRJNA15685,SAMN02598333,na,na,232721,232721,Acidovorax sp. JS42,strain=JS42,na,latest,Complete Genome,Major,Full,2007-01-04,ASM1554v1,DOE Joint Genome Institute,GCF_000015545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/545/GCA_000015545.1_ASM1554v1,contaminated,na,na,haploid,bacteria,4585154,4585154,66.000000,3,3,3,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2014-01-28,4383,4155,63,na
GCA_000021245.2,PRJNA21111,SAMN02603051,na,na,480119,470,Acinetobacter baumannii AB0057,strain=AB0057,na,latest,Complete Genome,Major,Full,2017-06-27,ASM2124v2,Case Western Reserve University,GCF_000021245.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/245/GCA_000021245.2_ASM2124v2,na,na,na,haploid,bacteria,4063879,4063879,39.000000,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-12-14,3883,3786,93,18931120
GCA_000020405.1,PRJNA29909,SAMN02603888,na,na,537457,715,Actinobacillus pleuropneumoniae serovar 7 str. AP76,strain=AP76,na,latest,Complete Genome,Major,Full,2008-06-10,ASM2040v1,Stiftung Tieraerztliche Hochschule Hannover,GCF_000020405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/405/GCA_000020405.1_ASM2040v1,na,na,na,haploid,bacteria,2345435,2345435,41.000000,4,4,4,Stiftung Tieraerztliche Hochschule Hannover,Annotation submitted by Stiftung Tieraerztliche Hochschule Hannover,2014-01-31,2220,2142,78,na
GCA_000017245.1,PRJNA13370,SAMN02598296,na,reference genome,339671,67854,Actinobacillus succinogenes 130Z,strain=130Z,na,latest,Complete Genome,Major,Full,2007-07-05,ASM1724v1,US DOE Joint Genome Institute,GCF_000017245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/245/GCA_000017245.1_ASM1724v1,na,assembly from type material,na,haploid,bacteria,2319663,2319663,45.000000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2014-01-28,2199,2079,82,na
GCA_000023245.1,PRJNA19705,SAMN00001904,na,reference genome,446462,40567,Actinosynnema mirum DSM 43827,strain=DSM 43827,na,latest,Complete Genome,Major,Full,2009-08-13,ASM2324v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/245/GCA_000023245.1_ASM2324v1,na,assembly from type material,na,haploid,bacteria,8248144,8248144,73.500000,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2013-12-24,7179,6916,79,21304636
GCA_000014805.1,PRJNA16697,SAMN02604052,na,reference genome,380703,644,Aeromonas hydrophila subsp. hydrophila ATCC 7966,strain=ATCC 7966,na,latest,Complete Genome,Major,Full,2006-11-06,ASM1480v1,TIGR,GCF_000014805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/805/GCA_000014805.1_ASM1480v1,na,assembly from type material,na,haploid,bacteria,4744448,4744448,61.500000,1,1,1,TIGR,Annotation submitted by TIGR,2014-01-31,4286,4122,157,16980456
GCA_000196395.1,PRJNA16723,SAMN02603664,na,na,382245,645,Aeromonas salmonicida subsp. salmonicida A449,strain=A449,na,latest,Complete Genome,Major,Full,2007-04-06,ASM19639v1,National Research Council Canada - Institute of Marine Biosciences,GCF_000196395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/395/GCA_000196395.1_ASM19639v1,na,na,na,haploid,bacteria,5040536,5040536,58.000000,6,6,6,National Research Council Canada - Institute of Marine Biosciences,Annotation submitted by National Research Council Canada - Institute of Marine Biosciences,2016-07-22,4737,4420,147,12932739
GCA_000786795.1,PRJNA264317,SAMN03120844,JRYV00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=2009-144K3,na,latest,Contig,Major,Full,2014-11-25,ASM78679v1,Universite Laval,GCF_000786795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/786/795/GCA_000786795.1_ASM78679v1,na,na,na,haploid,bacteria,4958831,4958831,58.500000,0,214,214,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2014-10-23,4746,4273,142,na
GCA_000786805.1,PRJNA264317,SAMN03120845,JRYW00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=2004-05MF26,na,latest,Contig,Major,Full,2014-11-25,ASM78680v1,Universite Laval,GCF_000786805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/786/805/GCA_000786805.1_ASM78680v1,na,na,na,haploid,bacteria,5021090,5021090,58.500000,0,126,126,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2014-10-23,4797,4427,132,na
GCA_000820065.1,PRJEB7036,SAMEA2752412,CDDW00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=CIP 103209,na,latest,Scaffold,Major,Full,2014-12-01,PRJEB7036,UCONNMISEQ,GCF_000820065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/820/065/GCA_000820065.1_PRJEB7036,na,assembly from type material,na,haploid,bacteria,4740147,4739554,58.500000,0,128,133,na,na,,0,0,0,na
GCA_000931985.2,PRJNA264317,SAMN03295755,JXTA00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=JF3224,na,latest,Scaffold,Major,Full,2015-02-24,ASM93198v2,Universite Laval,GCF_000931985.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/985/GCA_000931985.2_ASM93198v2,na,na,na,haploid,bacteria,4806166,4806166,58.500000,3,133,133,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-01-29,4537,4180,133,na
